12
(0, 1, 4394741)
(1, 2, 4052320)
(2, 3, 6140276)
(3, 4, 7564588)
(4, 5, 3453889)
(5, 6, 6575479)
(6, 7, 7246000)
(7, 8, 1440100)
(8, 9, 261715)
(9, 10, 3830623)
(10, 11, 9429512)
(0, 2, 1387902)
(0, 3, 7438210)
(0, 4, 4269269)
(0, 5, 6501406)
(0, 7, 3090202)
(0, 8, 1988058)
(0, 9, 7719715)
(0, 10, 4841215)
(1, 4, 1989335)
(1, 6, 9903520)
(1, 7, 3028022)
(1, 8, 980827)
(1, 9, 4888949)
(1, 11, 9798345)
(2, 4, 4562643)
(2, 5, 9143781)
(2, 6, 4670458)
(2, 8, 6667701)
(2, 9, 5643982)
(2, 10, 5339058)
(2, 11, 4450235)
(3, 5, 453894)
(3, 6, 1146721)
(3, 7, 8049833)
(3, 8, 8475740)
(3, 9, 1586000)
(3, 10, 9196957)
(4, 7, 1116454)
(4, 8, 4591860)
(4, 9, 9045870)
(4, 10, 6911759)
(4, 11, 6509219)
(5, 8, 5195552)
(5, 9, 6743838)
(5, 10, 7243451)
(5, 11, 4195264)
(6, 9, 1525499)
(6, 10, 6970199)
(6, 11, 8968653)
(7, 9, 5201875)
(7, 10, 6704945)
(7, 11, 5287555)
(8, 10, 4506654)
(8, 11, 259701)
(9, 11, 4756494)
